"","month_date","pr_mean"
"157",2022-01-31,10.2226011851599
"158",2022-02-28,7.34514529976877
"159",2022-03-31,39.4152241482516
"160",2022-04-30,62.9022236913443
"161",2022-05-31,61.8539135204628
"162",2022-06-30,84.8529042676091
"163",2022-07-31,88.335396128241
"164",2022-08-31,87.9526432254352
"165",2022-09-30,70.77117995359
"166",2022-10-31,25.9671609877842
"167",2022-11-30,26.1035161907785
"168",2022-12-31,4.15442680750857
"169",2023-01-31,44.5783551607747
"170",2023-02-28,11.8034362792969
"171",2023-03-31,20.1461794349598
"172",2023-04-30,35.5091856967192
"173",2023-05-31,31.4771588717122
"174",2023-06-30,142.333374777809
"175",2023-07-31,98.7214611726813
"176",2023-08-31,42.9078126791865
"177",2023-09-30,11.3832092756638
"178",2023-10-31,60.7335731503554
"179",2023-11-30,3.38653562685067
